Subject,juice_likert,juice_intense,juice_encouragement,salt_likert,salt_intense,salt_encouragement,neutral_likert,neutral_intense,neutral_encouragement,juice1_motive,juice1_like,juice1_performance,juice1_encouragement,salt1_motive,salt1_like,salt1_performance,salt1_encouragement,neut1_motive,neut1_like,neut1_performance,neut1_encouragement,juice2_motive,juice2_like,juice2_performance,juice2_encouragement,salt2_motive,salt2_like,salt2_performance,salt2_encouragement,neut2_motive,neut2_like,neut2_performance,neut2_encouragement,juice4_motive,juice4_like,juice4_performance,juice4_encouragement,salt4_motive,salt4_like,salt4_performance,salt4_encouragement,neut4_performance,neut4_motive,neut4_like,neut4_encouragement,money_strat,liq_strat,money_motive,liq_motive,posttaskliquid_complete,pos_likert,pos_arousal,pos_encouragement,neg_likert,neg_arousal,neg_encouragement,soc_neut_likert,soc_neut_arousal,soc_neut_encouragement,pos1_motive,pos1_like,pos1_performance,pos1_encouragement,neg1_motive,neg1_like,neg1_performance,neg1_encouragement,soc_neut1_motive,soc_neut1_like,soc_neut1_performance,soc_neut1_encouragement,pos2_motive,pos2_like,pos2_performance,pos2_encouragement,neg2_motive,neg2_like,neg2_performance,neg2_encouragement,soc_neut2_motive,soc_neut2_like,soc_neut2_performance,soc_neut2_encouragement,pos4_motive,pos4_like,pos4_performance,pos4_encouragement,neg4_motive,neg4_like,neg4_performance,neg4_encouragement,soc_neut4_performance,soc_neut4_motive,soc_neut4_like,soc_neut4_encouragement,soc_money_strat,soc_strat,soc_money_motive,soc_motive,posttasksocial_complete,bisbas_rr1,bisbas_bis1,bisbas_d1,bisbas_bis2,bisbas_f1,bisbas_d2,bisbas_bis3,bisbas_rr2,bisbas_f2,bisbas_bis4,bisbas_f3,bisbas_rr3,bisbas_bis5_rev,bisbas_d3,bisbas_bis6,bisbas_f4,bisbas_d4,bisbas_bis7_rev,bisbas_rr4,bisbas_rr5,bisbas_complete,days_nonsoc_hobbies_desc,dars_hobby_1,dars_hobby_2,dars_hobby_3,dars_hobby_4,dars_food_desc,dars_food_5,dars_food_6,dars_food_7,dars_food_8,dars_social_desc,dars_social_9,dars_social_10,dars_social_11,dars_social_12,dars_sensory_desc,dars_sensory_13,dars_sensory_14,dars_sensory_15,dars_sensory_16,dars_sensory_17,dars_complete
101,5,6,6,3,6,4,2,5,4,5,6,6,6,4,5,5,4,5,4,5,3,6,6,6,7,6,6,6,7,5,4,5,6,7,7,6,7,7,7,6,7,6,7,5,6,"For the $$$$ trials, I felt myself become more alert, and occasionally mutter the cue aloud to myself beforehand the stimulus was presented.","I muttered the cue aloud for the saltwater solution more often than the juice or neutral. However, for the juice I felt naturally much more alert and was not absentmindedly playing with the straw in my mouth like I was for the other two.","I was equally motivated for the $ and $$ trials, but more motivated for the $$$$ because that indicated a larger amount of money.","Unconsciously, I think I was more motivated for the juice trial, since I noticed that the most liquid was emptied out of the syringes for that feedback compared to the other two.",2,2,6,2,6,6,6,4,3,4,4,4,6,4,6,6,6,6,3,3,6,3,4,4,7,4,6,6,7,6,4,4,7,4,5,4,7,4,7,7,7,7,6,6,6,5,"For the $$$$, I made sure especially to pay attention to the cue and would either say aloud vowel-constenant if it was the letter cue, or odd-even if it was the number cue.","I often found myself responding aloud to the neutral feedback with equally neutral responses. However, I would respond much more positively to the negative feedback while the positive feedback I would try to tune out.","I was slightly more motivated for the $$$$ trials, as those would result in a higher monetary reward.","I was much less motivated by the neutral feedback compared to the other two. However, I was most motivated by the negative feedback since I found it much less distracting than the positive one.",2,5,3,3,4,5,4,4,5,4,5,2,5,5,3,5,5,3,4,5,4,2,"day hiking, watching TV on Netflix",4,4,4,4,"Ramen, poke",4,4,4,4,"Ultimate frisbee, talking one-on-one with a friend",4,4,4,4,"Smelling saltwater from the ocean breeze, looking out at the view off of a cliff",4,4,4,4,4,2
103,7,6,7,1,7,3,5,1,4,7,7,3,6,1,1,1,2,6,6,3,4,6,6,3,6,2,2,2,3,5,5,3,5,5,7,2,6,2,2,1,2,4,3,4,4,No,No,No,I did not like the saltwater. I tried to keep going but it was not pleasing ,2,6,5,5,5,5,4,6,4,5,2,3,2,3,1,1,2,2,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,6,3,1,4,5,2,1,4,6,5,1,4,I tried to get as many right in a row that I could.,I ignored the negative feedback,"Yes, I was more motivated for the $$$$ trials but I was too anxious to get them right ",I was indifferent. I liked hearing  both feedback and the negative feedback made me laugh,2,5,2,4,3,4,4,2,5,4,2,3,5,3,4,3,5,4,2,5,5,2,learning new skills and doing my hair,4,4,4,4,pasta and bread,4,4,4,4,shopping and partying,4,4,4,4,movies and walking Forest Park,3,3,4,4,4,2
105,5,3,6,2,5,3,4,2,,5,5,5,5,3,3,4,2,5,4,5,4,6,5,5,6,2,2,5,2,3,4,5,3,7,6,5,6,2,3,5,2,5,7,5,5,No,No,The ones for more money of course I wanted to make sure I got those correct in a timely fashion to maximize the monies I could walk away with but I also kept thinking any money is money and can help so get this one right too.,I didn't particularly want to drink the saltwater so I wasn't hurt if I got one of those questions incorrect or moved too slow,2,3,2,4,4,2,4,4,1,4,6,5,5,4,6,4,5,2,5,3,3,4,6,4,5,5,6,4,3,2,6,3,3,2,7,5,5,5,7,5,4,4,7,6,3,4,"No, not really.",No I essentially ignored it so that I could focus because no matter what they said it was not changing the correct answer,Initially I got more worked up for the $$$$ obviously. I could use the money and it seemed easy enough. Then I realized money is money and if I need it then I need to keep the same energy at every level.,"No, they were all kind of funny more than motivating. The people did not know me and I did not know them so it was easy to disassociate.",2,4,2,3,2,4,5,3,5,3,4,3,5,2,4,3,5,NA,3,4,3,2,"dance, creative writing such  as poetry and songwriting",4,4,4,4,"mac and cheese, candied yams",3,4,4,4,"sports, movies",4,3,3,3,"listening to music, eating food",4,4,2,4,3,2
106,7,5,7,1,7,1,2,2,3,6,7,6,7,1,1,4,2,4,5,4,4,6,6,6,5,2,3,4,1,3,3,4,4,7,7,6,7,3,1,5,3,6,6,5,5,I was indifferent between all trials.,"For the salt water, I would often not answer/purposely miss two $ trials before answering one $$$$ trial. I was indifferent on the $$ trials.",I was not motivated particularly.,I had to implement strategies when the saltwater became discomforting.,2,4,5,4,6,4,5,5,2,3,5,6,6,5,6,6,6,5,5,3,5,3,6,6,5,5,6,5,6,5,6,5,6,5,5,6,5,5,6,6,6,6,5,4,5,5,No.,No.,No.,"No, none of the social feedback caused me to feel physically uncomfortable.",2,4,2,3,3,5,4,2,5,5,3,4,5,2,3,3,5,4,1,5,5,2,painting and reading,4,4,4,4,potatoes and rice,4,4,4,3,biking and adventuring,4,4,4,4,seeing cool trees/plants and tasting new foods,4,4,3,4,3,2
107,7,4,6,1,6,2,4,4,5,4,5,6,6,2,2,6,3,5,5,6,4,6,4,6,6,4,3,2,1,6,4,4,2,7,6,6,7,6,2,5,5,6,6,4,6,NO the same,No the same,yes the $ was less motivated,no,2,6,7,6,2,2,5,5,5,5,5,5,4,5,3,4,3,2,5,4,5,4,6,6,4,6,4,3,5,4,6,5,4,5,6,5,3,6,6,5,3,5,6,5,5,4,No the same,no the same,yes more cash more motivation,the same,2,5,4,5,3,5,5,3,5,5,3,5,5,4,5,4,5,5,2,5,5,2,reading,4,4,3,3,lemonade pizza,3,4,4,2,phone gaming,3,4,4,4,music exercise,3,4,4,4,4,2
108,6,4,5,2,6,2,3,2,3,5,4,4,5,1,1,1,2,3,4,3,3,4,5,5,5,1,1,1,2,3,2,2,3,5,5,4,6,2,1,1,2,2,4,3,2,N/A,"When receiving the liquid feedback in the form of saltwater, I oriented to tube in my mouth such that It did not directly touch my tongue. After enough of the saltwater filled my mouth, I swallowed it in one large gulp periodically. For the neutral solution, I initially used the same strategy as I did for saltwater, but after I realized the solution was neutral, I just let tube hang freely in my mouth and swallowed periodically. For the juice, I also let the tube hang freely in my mouth and swallowed regularly with each liquid feedback. ",I was more motivated the '$$$$' trials than the other trials because they were worth more money.,I was least motivated with the saltwater due to its extremely saline taste. I was most motivated with the juice due to it sweet taste. ,2,4,5,5,2,1,4,3,4,4,5,6,5,5,5,4,6,3,5,4,4,4,5,5,5,5,5,4,3,3,4,4,4,4,7,5,5,6,7,5,5,2,5,7,5,4,N/A,"During the negative feedback portion, I would sometimes look away from the screen. ","I was less motivated by '$,' and '$$,' as opposed to '$$$$.' This was because my potential success or failure seemed to have a minimal impact on the amount of money that I could earn. ",I think I was more motivated during the negative feedback because I was determined to not allow the negative feedback to hinder my performance. ,2,5,3,5,3,4,5,2,5,4,3,3,5,4,5,4,4,2,3,5,5,2,"read, watch Netflix",4,4,4,4,"pasta, alcohol",4,4,4,2,"dancing, traveling",4,4,3,4,"eating, sex",2,3,3,4,2,2
109,6,5,6,3,6,3,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,6,5,5,5,6,5,5,5,6,5,7,7,6,7,7,7,6,7,7,7,6,7,"Not really, I just wanted to get them all correct so I just tried to stay focus and use the same tactics.",No,"No, but if I got an answer wrong on the $ questions, I was less upset than the $$ and $$$$ questions.",No,2,6,5,6,4,5,3,1,1,4,3,3,5,4,3,3,5,4,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,No,No,"Not necessarily more or less motivated, but I was more upset when I got $$ or $$$$ wrong than $.",No,2,5,5,5,5,4,4,5,5,5,4,5,5,4,3,4,5,3,3,5,5,2,Watching TV and writing poetry,4,4,4,4,mac and cheese and orange juice,4,4,4,2,kickbacks and going to the movies,4,4,3,4,hearing good music and smelling good food,4,4,4,3,3,2
112,7,5,7,1,4,2,3,2,4,5,5,3,7,1,1,4,1,2,3,4,2,7,7,5,6,3,1,4,3,3,3,3,3,7,7,2,7,2,1,3,4,4,4,3,4,I focused slightly more on the $$$$ trials than the other two.,Not really.,Yes. I was more motivated on the trials worth more money.,"Yes. The juice felt like a reward, and I wanted to get it each time, regardless of the monetary value. The saltwater felt like a punishment, and I was not motivated at all to answer correctly during that trial.",2,1,7,1,2,1,4,6,1,5,1,1,5,1,2,3,5,3,2,4,4,4,2,1,4,2,3,3,5,4,4,6,5,4,3,1,2,2,5,3,2,2,3,6,7,5,Not really.,"Yes. I did my best to zone out and just look at the screen out of the corner of my eyes when receiving positive feedback, because I found the feedback to be awkward and, to a much greater degree than for any other trials, upsetting.",Yes. I was less motivated for trials in which I was going to receive less money because I was less willing to expend the energy I would need to to focus on the task at hand.,"Yes. I was almost an incentive to miss questions, because that meant I would not receive the social feedback, on both the positive and negative feedback trials (more so positive). I thought the neutral feedback was funny, so that motivated me.",2,2,4,2,4,3,2,3,4,4,5,2,2,5,1,4,1,1,4,4,2,2,"running, swimming",3,4,3,3,"pizza, donuts",2,4,4,4,"hanging out with friends, going to movie",4,4,1,4,"hot tub, cold tub/ice bath",2,3,3,3,1,2
113,7,5,7,2,6,1,5,1,5,5,5,6,5,5,3,5,3,6,6,5,6,7,7,5,7,6,2,5,6,6,6,6,6,7,7,5,7,7,2,5,2,5,7,7,7,nope,nope,"I was motivated extra for $$$$>$$>$, but still tried for all of them because it's still money","saltwater decreased enjoyment, but I staid motivated for the $$$$, although I was less motivated on $$ and $",2,4,2,5,2,5,2,3,3,3,3,3,5,6,3,3,3,6,2,3,5,6,5,6,5,5,5,4,5,5,5,5,5,6,7,7,5,7,7,7,5,7,7,7,6,7,nope,nope,I was more motivated by $$$$>$$>$,The negative feedback distracted me a lot even though I really didn't find them hurtful and a few were just comical. A few positive ones creeped me out or didn't seem genuine. The neutral ones were bizare and I felt turned off by the folks.,2,4,2,3,3,5,3,4,5,4,4,2,4,4,3,3,3,2,3,4,4,2,"sports, video games",4,4,4,4,"meat, chocolate",3,4,4,2,"party, board games",3,3,2,3,"music, the sound of running water",2,2,3,3,2,2
114,6,4,5,3,5,4,6,1,6,4,6,4,5,4,3,4,3,4,5,4,5,4,6,4,6,4,3,4,3,4,5,4,5,4,6,5,6,4,3,3,3,4,5,5,5,No,No,No ,No ,2,4,2,4,5,6,6,4,2,4,4,4,6,4,5,6,6,6,4,4,5,4,4,5,5,4,6,5,5,6,3,4,4,4,4,5,5,4,6,6,5,6,5,4,4,4,No,"Negative, kind of made  me want to do better",No ,"The positive and Neutral were unmovtivating to me, because since I had the negative first it felt like it pushed me more than the other two types of feedback. ",2,5,3,5,4,5,5,2,5,5,2,5,5,4,3,4,5,3,1,5,5,2,"Taekwondo, cooking",4,4,4,4,"Japchae, Fruit",4,4,4,4,"Going out to Eat, Watching Movies",4,2,2,4,"Photography, Watching Youtube Videos",3,1,2,2,4,2
116,7,5,6,1,7,1,3,4,4,7,7,7,7,1,1,1,1,2,3,3,4,7,7,7,7,1,1,1,1,4,3,4,4,7,7,7,7,3,1,2,1,5,5,4,4,"For the most part, I tried to ignore the dollar signs (unless it was saltwater - see response below).","With saltwater, I tried to focus on $$$$ trials and not the others, because it was a strong discourager, regardless of the extra money. Eventually, I just gave up, and tried to get correct answers, but not too quickly because yuck saltwater.",I tried not to pay attention to the difference in dollar signs in each trial.,"Neutral solution was bleh, didn't really affect anything. Saltwater completely unmotivated me. And surprisingly, I really enjoyed the juice trials and definitely was way more motivated and did great on that one.",2,6,2,6,2,3,1,4,1,4,4,5,5,6,6,1,4,3,3,4,5,4,4,5,5,6,6,1,4,3,3,4,5,4,4,5,5,6,6,1,4,3,3,4,5,4,I tried not to pay attention to the dollar signs.,None.,"A little more motivated with more dollar signs, but again, I tried mostly to ignore it so it wouldn't be a distraction.","Definitely more motivated on negative feedback, least motivated in neutral. Negative feedback made me want to do better (proving it didn't affect me, etc.).",2,5,4,2,5,2,3,5,4,2,5,1,4,5,3,5,1,2,4,4,4,2,Reading; piano,4,4,4,4,macaroni and cheese; hot tea,3,4,4,2,going to a museum/the zoo; bowling,3,2,3,2,smelling flowers; smelling and using lotion,4,3,3,4,4,2
117,6,5,4,2,7,6,7,4,4,5,5,5,5,5,3,4,2,6,6,6,4,6,6,5,5,6,4,4,2,6,6,6,6,7,7,5,7,7,2,5,2,7,7,7,5,no,no,i was more motivated in the $$$$ trials because i want more money,i was less motivated with the saltwater because it was gross,2,7,5,6,2,7,7,4,4,4,7,6,5,5,7,5,5,5,7,6,5,6,7,6,5,5,7,6,6,4,7,6,5,5,7,6,6,7,7,6,5,7,7,6,6,7,No,no,i was most motivated on the $$$$ trials,i was more motivated during the positive trials,2,5,4,3,5,5,3,3,5,3,5,4,4,5,2,5,5,2,5,5,3,2,listening to music and reading,4,4,4,4,chinese food and pineapple soda,3,4,4,4,partying and having discussions,4,4,2,3,taste and sight,4,4,4,4,4,2
118,6,5,6,1,7,2,2,5,3,5,6,6,6,4,1,4,3,4,3,5,4,6,6,5,6,4,1,4,2,5,4,5,4,7,7,5,6,5,1,4,3,4,5,3,4,I fidgited more on the $$$$ and it made me click the wrong answer more often.,"No, but I sometimes really didn't want to get the answer right on the saltwater liquid feedback.","I was less motivated for the $ trials, but I still tried pretty hard.",I was definitely less motivated for both the saltwater and water trials.,2,2,1,4,2,1,3,1,1,4,3,4,4,4,3,4,4,4,3,3,4,3,5,4,5,5,5,4,5,5,4,3,5,5,6,5,5,5,6,4,5,4,5,4,5,4,I was a lot more on edge during the $$$$ trials; sometimes this would result in accidentally pressing the wrong key because I am so alert.,No.,I was more motivated for the $$$$; I always perked up a bit more when I saw the $$$$ symbol.,No.,2,5,4,4,3,3,5,3,5,3,3,1,4,4,5,4,2,4,3,5,5,2,Taking walks and playing piano,3,2,3,3,Tomato and eggs and ice cream,4,4,4,3,Watching movies and going on drives,3,3,4,2,Smelling the ocean breeze/feeling the rain on my face,4,4,4,4,4,2
